,feature importance
187,0.0014509021669974163
188,0.00019932843669939848
189,0.0015047296784293813
190,2.0701166968647977e-05
191,0.00028219310874633
192,0.0001349190760037804
193,0.0007393189225920012
194,8.357120440872702e-05
195,0.00014246751377893838
196,0.00026421269622352295
197,1.641531550501855e-05
198,0.00014366081040421324
199,6.006786412279922e-05
200,1.906741001359218e-05
201,4.4897868204138696e-05
202,7.603917060445231e-05
203,0.00017070213143079448
204,4.39024813238929e-06
205,4.5982147613989104e-07
206,4.4207408878341225e-05
207,4.448840077184391e-05
208,1.5032851836684225e-05
209,3.7069963946645704e-05
210,3.472464506723191e-07
211,0.00033800315136225554
212,0.00012877959197761036
213,0.0002315842537643165
214,4.0238566795345956e-07
215,0.00034468067890102035
216,0.0012298468403215469
217,0.0019265143481856342
218,6.412467835238557e-05
219,2.080407583543743e-05
220,3.3157456883245847e-06
221,1.1597672315521733e-06
222,7.772304328115413e-05
223,3.406934851104102e-06
224,0.0011001764449169796
225,4.28807120354048e-05
226,0.001797165950970111
227,0.0010228805970042315
228,0.0
229,2.1576038562970577e-05
230,3.735546669319658e-05
231,4.8806925205659834e-05
232,4.256618450734398e-05
233,0.00013360360368724515
234,1.5044160274000255e-05
235,0.00046892079556692885
236,0.0
237,0.00032437677772146066
238,2.1527928660744514e-05
239,0.0009205289428779633
240,6.297706414389289e-05
241,0.00035346030204315166
242,0.0017118525889411626
243,3.6772975694962236e-06
244,0.0018099452057155569
245,1.3801054886866586e-05
246,0.00023407874766792085
247,2.9211873693012366e-05
248,0.0024238940247477366
249,6.807900965270685e-05
250,0.0007227094578009078
251,0.0006076975029970403
252,0.001071967772312691
253,7.73246974172747e-05
254,1.2111060576221514e-06
255,6.783308735342943e-05
256,2.540708514522337e-05
257,6.851324442388281e-07
258,0.000741877117607622
259,8.599970397049958e-05
260,2.1120198300207492e-08
261,1.529435518434567e-05
262,4.3130258312346206e-05
263,6.271931836098452e-06
264,0.00026860727720013266
265,7.09497451553581e-05
266,0.00019761536834565056
267,6.66970849162748e-05
268,0.00012764378626645452
269,9.834937850915539e-05
270,7.61159013370309e-05
271,0.0009180638659202865
272,2.3608965037654178e-06
273,0.000326059089872523
274,5.042149061453209e-06
275,7.138088442113096e-07
